time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,train/value_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_range,train/entropy_loss,train/explained_variance,train/clip_fraction
1,1,23.42528735632184,2048,1950,23.42528735632184,,,,,,,,,,
2,2,26.7,4096,1367,26.7,0.0003,53.80129114985466,0.0077849636,10,-0.010727508201671298,8.04477310180664,0.2,-0.6874327715486288,0.0020249485969543457,0.06953125
4,3,36.0,6144,1260,36.0,0.0003,34.688643246889114,0.009025004,20,-0.01909070963738486,11.966014862060547,0.2,-0.6651078507304191,0.09613949060440063,0.06533203125
6,4,48.78,8192,1245,48.78,0.0003,57.76106959581375,0.009008424,30,-0.01843381295184372,28.253265380859375,0.2,-0.6366554740816355,0.24100083112716675,0.080712890625
8,5,63.7,10240,1233,63.7,0.0003,62.05739066004753,0.010467909,40,-0.01753177587343089,22.276744842529297,0.2,-0.6060674561187624,0.3361491560935974,0.07861328125
10,6,81.52,12288,1215,81.52,0.0003,58.55585839152336,0.0046713115,50,-0.010571410359989385,11.79952335357666,0.2,-0.6036358647048473,0.3687947392463684,0.028466796875
12,7,98.5,14336,1181,98.5,0.0003,39.06765492260456,0.007704004,60,-0.012525315748644062,10.261568069458008,0.2,-0.6009852917864918,0.7794431895017624,0.09453125
13,8,117.25,16384,1172,117.25,0.0003,39.53970129787922,0.0062747053,70,-0.007096538030600641,9.960049629211426,0.2,-0.5853048680350185,0.723564088344574,0.0353515625
15,9,131.64,18432,1172,131.64,0.0003,25.81684374511242,0.0051785447,80,-0.006638117728289217,7.454936981201172,0.2,-0.596088738925755,0.8228215277194977,0.027392578125
17,10,148.9,20480,1160,148.9,0.0003,39.33121338635683,0.004553467,90,-0.005267012551485095,1.546628713607788,0.2,-0.5809648947790265,0.8295624107122421,0.02705078125
19,11,168.49,22528,1164,168.49,0.0003,23.533224649727345,0.007609551,100,-0.007297133480460616,2.2302258014678955,0.2,-0.5804710956290364,0.8719011545181274,0.049609375
21,12,186.59,24576,1159,186.59,0.0003,36.694834134727714,0.00812632,110,-0.006026062292221468,14.082184791564941,0.2,-0.560742748528719,0.7227208316326141,0.06259765625
23,13,201.96,26624,1156,201.96,0.0003,28.504992302507162,0.0049395533,120,-0.009424373529327568,9.85038948059082,0.2,-0.5616862125694752,0.8569936901330948,0.062255859375
